,NorthWest,NorthEast,SouthWest,SouthEast,London,EastMidlands,WestMidlands,Yorkshire,EastofEngland
2020-07-31,0.548908637,0,0,0.605672723,0,0.441028327,0,0,1.195460422
2020-08-01,0,0,0.177508294,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0
2020-08-03,0.749094683,0,0,0.768929444,0,1.367327051,0,5.237285666,0
2020-08-04,5.50996882,0.389746956,0.461489816,0,1.074068754,1.691945414,0.346316374,0.365163444,1.663857019
2020-08-05,0,0,0,0,0,0,0,0,0
2020-08-06,0,0,0,0.944831321,3.400687673,0,0.870652169,0,0
2020-08-07,0,0,0,0.546306062,2.029994882,0.610323978,0,0.399076551,0
2020-08-08,0,0,0,0.964361972,0,0,0,0,0.485797592
2020-08-09,0.554185742,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0,0
2020-08-11,0,0,0,0,0,0,0,0,0
2020-08-20,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0.674216685,0,9.629439902,0
2020-08-22,0.676248336,0,0,1.368290228,0,0,0,0.460686265,1.251022119
2020-08-23,0.501739256,0,0,0,0,0,0,4.26863705,0
2020-08-24,1.65091311,1.096920951,0,0,0,1.051451323,0,0,0
2020-08-25,0,0.78924741,0,2.08003853,1.684785553,0,0,1.828084031,2.761878711
2020-08-26,4.825818198,1.219712392,0,0.777099798,0,0,1.66174221,0.768420932,0.564648503
2020-08-27,5.295657516,0.596807672,3.841777497,0.388444111,0,0.90945127,0.211575104,4.0203957,1.526559232
2020-08-28,3.313689832,0,0,0.467140686,6.626585312,0,1.308788215,2.20700896,1.445564339
2020-08-29,7.437481121,0,3.146480559,2.473810474,1.377099748,0.47606565,0.720650283,2.324193781,0.553540473
2020-08-30,0,2.873491629,0.380986515,1.329885801,4.850981228,0,0,5.440203241,1.265838475
2020-08-31,4.07867333,0,0,0,1.211044052,0,0,0,0
2020-09-01,0,0,1.711501878,2.95374784,3.723134292,1.644495385,5.741502197,0,1.525701146
2020-09-02,0.233017648,0,0,0,1.101575526,0,2.575910451,0.482822902,0.625687027
2020-09-03,14.61616209,0,0,0.589121987,2.967390872,0,0,0,0
2020-09-04,2.238306857,1.570579694,0,0.780436538,2.375185051,0,0,0,1.467788367
2020-09-05,2.520072547,3.934170843,1.153525286,0.983749314,2.140381247,0,0,0,0
2020-09-06,0,0,0,0,0,1.75873282,0,0,0.543582204
2020-09-07,2.020200949,0,3.179172,0,0,1.449403608,0,1.455687831,1.99318498
2020-09-08,0,0,0,0,0,0,0,0,0
2020-09-18,3.325625884,0,0,0,0,0.476316052,0,3.174520586,0
2020-09-19,17.43006761,13.2276669,0,7.270473981,1.913029782,4.58166161,2.563743465,4.681150478,6.715450196
2020-09-20,9.827807653,10.93181658,2.907663929,2.042728279,5.364176639,12.11972287,2.005017831,7.338280844,1.728719946
2020-09-21,10.65762732,4.028703525,6.440043428,6.167525203,10.05384043,5.308429341,7.479432825,2.99809754,4.563273167
2020-09-22,12.98934312,6.368131793,1.686562677,1.527090405,9.503872075,3.643595473,2.677976839,14.31490719,3.917286693
2020-09-23,17.54029681,2.110652209,6.064922279,13.39620817,26.62038252,6.353672417,21.82412377,28.94656113,7.451793073
2020-09-24,14.68601882,0.565953116,2.324892535,5.985283995,11.04096309,3.331309091,8.26343843,5.556126885,2.77823712
2020-09-25,36.01564767,0.903810325,6.061817761,3.487855956,3.705250376,2.458179466,12.44230168,13.93897504,4.912341312
2020-09-26,33.56630683,12.74170632,4.06582256,9.541247442,3.685402291,10.84358026,8.558439694,8.602539386,1.4826213
2020-09-27,12.00712218,3.874929804,2.700342068,0.688234565,10.46137624,1.560955369,0,0.392721254,0.400816806
2020-09-28,28.31432606,6.681494619,5.277231818,5.196715182,10.57055469,1.573013013,7.401171869,0.425387425,4.736025549
2020-09-29,8.840162298,10.36006199,6.468970069,4.003202986,12.0360832,4.856058461,5.052646394,15.37452693,4.345032038
2020-09-30,12.34172526,1.859584197,1.366695093,3.960615615,6.106491735,2.375141278,0,9.971096393,4.26854365
2020-10-01,9.864988114,3.667038848,6.18339621,4.068886083,1.203841886,6.675124434,4.014826078,4.833128308,2.093057624
2020-10-02,7.723766114,3.143770954,3.232997005,4.452669513,13.66171026,6.724882197,17.6324732,9.513597572,2.512667831
2020-10-03,11.72730241,4.085795677,0.821539298,3.679698763,2.202152303,3.296367536,1.703295484,8.507466772,3.075623158
2020-10-04,3.77908551,0.733142234,0,2.590147702,1.550646164,0,0,0,0
2020-10-05,3.045395223,1.143175233,0.924591015,4.810902274,1.406059956,5.203983819,1.091385911,0.309775655,1.676029899
2020-10-16,1.810470043,0,0,0.969348604,3.272809887,0,4.190006263,2.831671122,0
2020-10-17,38.4735357,7.639713605,12.28099329,7.170890626,6.191498375,10.29261849,20.70710066,28.66252624,4.858654082
2020-10-18,21.18688842,5.469562907,6.22604565,11.1510604,4.315245009,18.8830565,4.665641379,41.26856031,8.924638285
2020-10-19,44.04836385,7.477605648,7.557273983,4.102974173,11.28496368,10.51489666,12.80675532,12.53193919,10.91598715
2020-10-20,36.39644858,8.065534364,6.602112031,15.965654,12.84443633,12.87049803,39.5038859,48.48233526,7.881407738
2020-10-21,36.30547117,6.999595492,6.503452481,8.641060099,20.79882518,16.23320632,14.05754222,33.56756064,8.425721662
2020-10-22,48.20306068,10.61357151,14.17486524,16.56539089,10.60936052,13.19677052,15.89508706,38.80547219,9.877268602
2020-10-23,34.68859887,6.209093401,10.71279862,21.64785809,36.767054,10.66594862,16.04516912,34.75551389,12.63126608
2020-10-24,25.93259247,9.136226318,9.181254854,17.99688115,17.89268239,15.66755672,53.47631463,22.47677699,9.709687202
2020-10-25,27.75148516,3.189319036,13.26760617,14.64021574,16.54486396,8.970334467,15.89926599,17.21977421,4.499629544
2020-10-26,26.41237471,7.378647581,4.847633488,10.87606305,11.1107527,15.89757408,11.92971787,10.15856425,7.054060311
2020-10-27,30.32187973,8.597176791,2.467839407,12.7097743,23.66956248,10.34114223,12.90910772,13.00477432,6.282007465
2020-10-28,22.54673546,10.07614,5.815549557,6.504917077,12.91445384,6.591714544,12.91453712,15.25923464,9.52888892
2020-10-29,19.61928481,3.101394978,2.039622687,7.2602628,5.698431592,3.462676412,4.547631827,4.923716659,6.378486634
2020-10-30,9.112153723,3.802353296,0,5.788233462,7.12856314,5.045448551,2.276934438,5.82501693,2.29362517
2020-10-31,25.30555124,1.81282065,5.755610521,3.517238355,5.823337793,1.879448022,2.751062171,12.13092196,3.92792032
2020-11-01,14.3315666,3.356504527,7.798116326,3.144716046,4.252505774,2.34183347,2.342529203,4.216885599,3.036516625
2020-11-02,7.113041223,3.914706828,7.129948869,10.78226412,10.91311861,5.221003144,4.597039689,6.38495285,3.164264778
2020-11-13,0,0,0,0,0,0,1.26633783,0,0
2020-11-14,1.266843913,0,0,0,0,0.379837736,0,0.966617935,0
2020-11-15,0.474956337,0,0,1.112172534,0,4.081600325,7.21932509,1.959395896,0
2020-11-16,31.26604929,4.546390164,15.44103627,25.08347708,25.87791187,29.44905378,37.23042341,28.62612503,17.26821855
2020-11-17,19.61670036,3.695474147,6.49233084,15.50688126,11.9689615,13.1806748,13.46311462,28.84688147,6.408028867
2020-11-18,13.83325475,11.43965541,17.49265109,13.84656837,8.254414243,18.4830203,42.04227843,15.3644552,10.11478658
2020-11-19,11.91225182,1.925164171,4.389357987,26.98809848,14.49149721,14.80408444,13.59261492,8.677344309,9.062047206
2020-11-20,28.76431144,5.217740782,5.375668398,17.1062451,34.02355832,14.54785333,10.81251093,13.81714865,13.10326588
2020-11-21,17.58038266,7.1625153,11.39474455,11.94403843,21.61576408,13.89324457,15.1187493,7.589479407,3.77367789
2020-11-22,10.21310539,1.851400238,6.048900386,15.99684538,11.46519035,10.58880416,25.59562246,7.307555524,5.618848912
2020-11-23,5.462152263,4.96104892,1.523714996,4.415858625,8.090862582,9.209301788,4.877673144,17.52009389,10.38932124
2020-11-24,11.26058901,10.63767251,8.60369739,11.55640463,17.02331814,5.859986474,3.994715729,5.973928297,3.115113329
2020-11-25,9.227064991,4.236009178,3.406268771,11.90720957,14.96271774,5.231191382,7.825078944,0,5.262448351
2020-11-26,11.96175853,0.576066857,3.051439458,3.057101637,8.53332211,7.708937104,3.106848105,6.222075322,4.42609492
2020-11-27,6.494302252,6.442130923,2.530913604,12.93747766,7.723903321,3.13639063,6.030860183,10.57080566,1.366582835
2020-11-28,4.859965858,3.294312748,2.337788467,1.977445235,25.32463617,3.251007228,12.79246391,5.096660933,5.518592468
2020-11-29,4.689862685,3.16198051,3.541925391,9.034960617,19.15570452,8.843576992,1.991261853,12.20255413,1.579244639
2020-11-30,7.139735402,1.114482628,2.265234937,3.195424207,3.441564007,0.40489619,0.421681749,9.669645907,2.061162723
2020-12-01,7.129083914,0.992316353,3.218774422,6.321432263,9.029074465,3.482174655,0,5.888080916,5.539516112
2020-12-02,1.660740465,0,1.186958279,7.578062611,19.26509519,2.018566837,0,8.86446207,1.334064382
2020-12-03,0,0,0,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.606630385,0,1.258698607,0,0,0,4.749863381
2021-01-03,0,0,0,0,0,0,0,0,0.804525892
2021-01-04,5.987265414,0,0,1.940296633,0,0.948692746,0,0,0.793071023
2021-01-05,2.433185831,3.391244715,4.228970852,4.753692696,18.60421702,0.948306503,6.125190071,1.51141239,2.235131291
2021-01-06,42.16868794,16.54311528,22.75229284,45.09297811,80.49250408,22.61476268,39.39337125,15.70895038,39.96839295
2021-01-07,21.33776928,14.67150664,36.12808566,55.47668722,62.04127112,13.10032433,32.34298798,16.58404479,33.83290698
2021-01-08,33.82071445,7.961744112,16.10374595,59.23441061,79.537415,16.35062303,31.39925479,18.47234874,36.56406603
2021-01-09,37.74605662,0.716972911,15.02777667,52.43924448,81.95192594,21.5822769,29.15825007,7.643786317,29.53327822
2021-01-10,14.09250029,8.673855772,10.9571674,42.3149843,24.08747035,7.090325363,25.46528079,20.42807192,29.05494956
2021-01-11,17.8380521,3.480420105,10.19388713,43.1787697,42.67461271,18.38836097,34.35573096,7.738630858,18.8786391
2021-01-12,19.91737723,1.919059506,3.194658766,41.49444319,28.88275247,9.071102058,14.55948227,6.516334958,13.77560747
2021-01-13,17.81772046,3.592318528,3.394755779,16.07624104,17.7332672,11.42765001,6.225893871,5.012390537,17.16963205
2021-01-14,27.19116661,13.86358098,7.698512857,14.08664355,39.57343061,7.02847695,16.92445703,2.009007114,26.34323226
2021-01-15,7.683700152,3.001456098,0.663806578,17.94319279,30.12328648,13.03145173,14.16121407,10.48920744,15.64443382
2021-01-16,6.52817901,0,1.169625434,16.93234023,34.83358109,6.650221694,3.998261049,1.510037959,18.46263073
2021-01-17,6.040930984,0,1.918522556,6.52725054,16.29214724,6.462009639,4.486843774,2.715142357,7.115861654
2021-01-18,8.554973284,1.102463625,3.078538455,8.801683023,33.5252897,2.878673576,3.222381929,0,5.596122154
2021-01-19,5.991940254,12.30467263,3.041606082,6.431996514,24.18126452,3.760047855,10.98652294,4.644267706,12.8342201
2021-01-20,2.063906327,1.209271969,3.686083389,1.823487392,12.10468291,1.947189337,1.073435604,0,2.563649414
2021-01-21,0.879330632,1.054021845,2.60864363,0.919195416,10.60138104,1.319070934,2.770551998,1.702105528,3.635070391
2021-01-22,2.577856918,0,0,0.841361117,2.865792235,0,0.346532815,0,0.993577667
2021-02-04,3.461133987,0,0,0,0,0,0,1.494793555,0.533888416
2021-02-05,0.731567214,0,8.054877493,0,0,0.289495975,0,0,0.672887301
2021-02-06,9.765071702,5.351880452,1.208459762,6.040697018,7.550757817,5.107185198,2.792093495,2.325900677,1.733591807
2021-02-07,9.780957948,1.925445781,4.01105508,6.010284789,6.187033254,2.154731387,0.47639831,10.89614113,3.48925102
2021-02-08,4.875851496,0,0.626341297,1.880083583,3.856963892,2.309334623,2.830172712,2.036244438,3.117889688
2021-02-09,18.18054428,3.064570052,2.919632254,7.402534711,6.523565568,6.135399639,6.671139136,6.452224251,7.120676852
2021-02-10,15.05467332,5.213693923,3.989310602,7.134728719,14.5677536,10.75694917,4.773080384,12.90880444,10.40104318
2021-02-11,19.22203381,7.062518748,3.027361657,8.07681498,9.804094304,7.933370719,7.15272683,4.443253886,15.21310243
2021-02-12,12.59306936,8.5792355,0.776847448,8.643134994,6.490777076,3.95902365,4.230027685,7.829225654,4.64580894
2021-02-13,7.768106577,2.931166141,2.912390242,8.861374869,12.79262311,10.31253083,2.950485678,1.890219017,15.47539877
2021-02-14,7.640564806,3.950735273,3.434731892,6.078372732,10.35884261,6.638688607,2.425742748,9.387602982,5.454671615
2021-02-15,0,4.875816648,1.276430724,6.287633577,8.435204626,4.234530306,2.017653664,0,3.392986182
2021-02-16,10.9682679,1.603464892,1.479699276,7.582549999,7.764237356,8.715957871,14.478242,13.85429083,1.849118988
2021-02-17,2.767477701,1.134227096,1.522166583,4.708979271,8.184760438,4.217742264,3.370135029,0,3.212157718
2021-02-18,6.202112952,3.348833432,2.365030403,5.336571058,7.677398986,1.317498339,0.618590442,10.88050529,2.661412148
2021-02-19,3.331542746,1.155472414,0.94130873,0,13.02252737,0,0.383247474,0,2.674211042
2021-02-20,4.127394327,1.79657575,0.333449251,6.705837947,10.5766919,0.474688863,0,1.382355559,1.988893694
2021-02-21,0.482369467,0,0,2.54265451,6.66622502,0,2.449410336,0,0
2021-02-22,2.530620399,0,0,2.685607208,3.482881608,6.908873213,2.206275953,6.590024942,0.491807573
2021-03-11,0,0,0,0,0,0,0,0,0
2021-03-12,0,0.846946946,0,1.035344284,0,0,0,0,0
2021-03-13,7.298272163,0,0,0,2.300067255,1.019352714,4.038881724,2.015334592,3.074321419
2021-03-14,7.925729705,5.151507749,5.791746121,0.500458876,1.53502921,1.722120567,0,6.305805572,0.675095197
2021-03-15,0.911472342,0,0.902776267,0.573144191,0,0.647704687,0.923833007,0,0.862806995
2021-03-16,0,0,1.053983583,0.826867382,0,2.309500336,5.591778881,7.084118192,0.708841717
2021-03-17,2.376094873,3.795315812,1.891896718,0.841511387,2.510599087,3.717871071,5.579287103,2.378285636,2.33414295
2021-03-18,1.660194735,0,1.205513433,1.136518534,1.607153658,1.722358776,0.579071102,1.696097837,0
2021-03-19,4.827688133,0.745159146,0.634195905,1.783977339,2.17085891,1.903722527,0.962013446,1.046125714,4.651250424
2021-03-20,7.70482615,2.746186872,0,2.118994725,3.525293245,4.104208475,1.094562981,0.939949251,1.32947492
2021-03-21,1.167554039,0,0,1.012119575,1.347092612,0.435453578,1.503812305,2.270931477,3.82996013
2021-03-22,0.812904667,7.268919959,0.467015172,3.777309762,1.478506063,1.098013889,0.979015815,2.478615121,0.808738618
2021-03-23,10.44155585,0,1.771345894,0,3.2914986,1.528783828,0.983063853,0,0.520961144
2021-03-24,2.461961567,0,0,0,3.509865883,0,0,6.489085099,0.271998782
2021-03-25,4.453291476,1.748339261,0,1.703999477,1.750953284,0,1.250859187,3.089446709,0
2021-03-26,0,0,4.67385257,0,0,0,0,3.801094533,2.856006432
2021-03-27,0.45292865,2.851450519,0,1.067344587,3.419806076,0.390094869,0,7.726741331,1.410301445
2021-03-28,0,0,0,0,0,0.424493718,1.313656787,0,0
2021-03-29,0.544831623,0,0.319635013,0,4.982676718,1.421329521,2.868711682,0,0
2021-03-30,0,0,0,0,0,0,0,0,0
2021-04-15,0,0,0,0,0,0,0,0,0
2021-04-16,0,2.27445118,0,1.760715446,0.752925789,0,0.514758872,0,0
2021-04-17,0,0,2.175401829,0.737324882,0,1.192784618,1.372022715,1.048559472,0.601010569
2021-04-18,3.08880968,1.234462338,0,0.493268694,0,0.295350256,0.324808973,0,0.672262219
2021-04-19,6.422144532,0,0,3.891994934,0,0,0,2.027090073,0.5739056
2021-04-20,0,0,0,0,0.951902781,0.987126469,0,0,2.416008536
2021-04-21,0,0,0,0.447963854,1.386457904,0.458672491,0.514770905,0,1.538121306
2021-04-22,0,0,1.096272755,0.55787761,0,0.472995904,0.872985337,0,0
2021-04-23,1.324404565,0,0.829990682,1.082852031,3.094309335,0.640122163,1.794055035,0.222273775,0
2021-04-24,0.462627439,0.457248976,0,0.364810596,3.770673167,0.187156197,2.946981991,0,0.393824825
2021-04-25,0.517378795,0,0,1.299654084,1.674885067,1.051713585,0.560432913,1.790644747,2.544614322
2021-04-26,2.324770947,0.94849847,2.978520276,7.584441358,0,0.511704463,0,0,0
2021-04-27,1.431397254,1.255615038,0,1.40918981,4.047501234,0.440746611,1.215386307,0,0
2021-04-28,0,0,0,0,1.655098529,0.764034435,6.033032505,0,0.611772223
2021-04-29,0.551347668,0,1.293308176,0.368368174,0,0.549280062,0,2.788043923,1.096631838
2021-04-30,0,0,0,2.194038725,3.50255966,0,0,0,0.361222076
2021-05-01,0,0,0,0.638682278,0,1.050521904,0.4211503,0,0
2021-05-02,0,0,0,0,1.817823439,0,0,6.028672027,0
2021-05-03,0,0,0,0,0,0,0,0,0
2021-05-20,0,0,0,0,0,0,0,0,0
2021-05-21,0,0,0,0,0,0,0,0,0
2021-05-22,0,0,0,0,2.335718599,0,0,0,0
2021-05-23,0,0.644640799,0,0.754187538,0,0,1.219965154,0.512672385,0
2021-05-24,0,0,1.196118111,6.315139651,0.425715723,0,1.298718135,0,0
2021-05-25,4.822152012,0.994330851,0,0,0.450470174,0.671293086,0,2.18628869,1.699651906
2021-05-26,1.789129358,0,0.484779758,0.851604935,0,0.563043202,0,0,1.157400924
2021-05-27,3.49061325,0,1.047626282,0,2.025188194,0,1.029342613,0.669659059,0.541558648
2021-05-28,2.25084093,0,0.5301407,0.745354857,0.844150066,2.978341011,0.641109304,4.143009158,1.034022837
2021-05-29,5.250760133,0,0,2.789329271,0.467557262,2.624853001,1.627312786,0,2.969405808
2021-05-30,4.049049958,0,0,0,0,0,0,0,0
2021-05-31,0,0,0,1.057083243,1.121094077,0,0.594148363,2.291535657,0.990771486
2021-06-01,5.147427813,0,0,2.671926751,2.534758347,4.373114573,0.575234146,1.799367941,2.358372305
2021-06-02,0,0,0,1.497622476,3.817834385,0.575232155,2.183927897,2.801225328,1.400500098
2021-06-03,4.481228213,0,0,1.526049874,0.496495985,1.189678592,0,2.586194429,0
2021-06-04,1.096770141,0,0,0,0,0,0,0,2.125481617
2021-06-05,1.362685393,3.505543936,1.188387267,2.516336284,1.095114327,1.057731044,0,0,0
2021-06-06,0,0.537735732,1.484955414,2.544370364,1.179167794,0,0.993648397,0,0
2021-06-07,0,1.041131612,0,1.951005135,1.907717362,2.734612527,1.816844551,0,2.21184032
2021-06-24,0,0,0,1.524784665,0,0,0,0.700213979,0
2021-06-25,0,1.473665075,0,0,0,0,0,0,0
2021-06-26,3.27438198,0,0,0.877290457,4.052997016,1.480288402,1.858575179,1.034195726,0
2021-06-27,3.075851831,0,0,1.313325915,2.609588752,2.915091797,2.05210028,1.654524938,1.822019795
2021-06-28,0.746608434,0.510058321,3.802526742,1.932948233,9.207438579,0,0.646305652,7.083029466,1.326509293
2021-06-29,3.710414448,0,1.046602373,3.173273309,4.406733721,2.06698532,2.07981254,3.722832665,3.085032734
2021-06-30,8.302585558,4.50214584,5.205595103,6.067775483,2.574858666,2.565132304,1.967848573,3.51522687,2.135703482
2021-07-01,7.984809531,0,2.533218504,4.890191019,13.55465375,1.246587318,0,4.287315905,4.56397132
2021-07-02,4.963197254,8.095296051,1.772917138,3.744887787,15.58327736,9.300512026,5.614448131,5.763896905,7.609365721
2021-07-03,8.259552548,1.622835813,3.049394787,2.208324737,20.13073065,1.344843875,11.58620867,9.044076717,3.468441369
2021-07-04,4.358012927,1.332525137,0.702176586,7.0563771,7.317734965,1.45475515,3.065787073,3.581055382,3.066217499
2021-07-05,7.147356297,3.939757957,3.278000535,5.098691851,12.96937822,4.800983398,0.941705229,6.5288236,2.561572734
2021-07-06,7.070913322,4.084407907,2.282570034,7.268115662,6.216117328,8.80096749,3.378415222,9.738303422,1.796372025
2021-07-07,4.207286348,0,3.722631042,2.448643584,11.11123856,3.624077312,0.473405142,2.235177988,2.721184698
2021-07-08,6.936122629,1.895912437,10.95396024,4.569073057,2.358807431,5.062271297,3.345734981,0.861455214,1.233997749
2021-07-09,9.115557106,0.910207947,0,1.957206059,3.131433502,3.123392748,6.01061118,8.54794241,4.915795724
2021-07-10,3.878873463,1.5656672,3.671308958,1.144185592,5.577739117,0.718313324,6.943540325,2.283508171,1.064241605
2021-07-11,0.959473719,1.153339595,0,3.02899052,4.627976579,1.14628239,2.348892248,3.634606345,0
2021-07-12,4.892670612,1.058309507,0,3.66993272,6.655752473,2.635263368,1.106384343,4.764921782,3.064591244
